Code,ID,Location,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Replicate,Surveyors,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown
CY-S-D6-1991-12-11-T3,SGRET2023-3,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,6,3,REST,0,0,0,0,0,0,0,7,0,0,40,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,11
CY-S-D6-1991-12-11-T4,SGRET2023-4,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,6,4,REST,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,20,0,0,16,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,21,0,54,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
CY-S-D6-1991-12-11-T5,SGRET2023-5,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,6,5,REST,0,0,0,0,0,0,0,0,0,0,0,31,45,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4,0,0,37,0,0,95,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
HA-NE-D0-1992-2-18-T1,SGRET2025-1,Pulau Hantu,HA-NE,18,2,1992,18/02/1992,1.226666667,103.7530556,Slope,Fringing,0,1,REST,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
HA-NE-D0-1992-2-18-T2,SGRET2025-2,Pulau Hantu,HA-NE,18,2,1992,18/02/1992,1.226666667,103.7530556,Slope,Fringing,0,2,REST,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA-NE-D0-1992-2-18-T3,SGRET2025-3,Pulau Hantu,HA-NE,18,2,1992,18/02/1992,1.226666667,103.7530556,Slope,Fringing,0,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,21,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
HA-NE-D0-1992-2-18-T4,SGRET2025-4,Pulau Hantu,HA-NE,18,2,1992,18/02/1992,1.226666667,103.7530556,Slope,Fringing,0,4,REST,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,13,0,0,28,0,0,0,0,0
HA-NE-D0-1992-2-18-T5,SGRET2025-5,Pulau Hantu,HA-NE,18,2,1992,18/02/1992,1.226666667,103.7530556,Slope,Fringing,0,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,10,0,0,17,0,0,0,0,61,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,54,0,62,0,0,0,0,0,0,0,0,0,0,0,21,0,16,0,0,0
HA-NE-D3-1992-1-28-T1,SGRET2026-1,Pulau Hantu,HA-NE,28,1,1992,28/01/1992,1.226666667,103.7530556,Slope,Fringing,3,1,REST,0,0,0,0,0,0,0,0,0,0,124,22,35,101,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,41,0,37,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0
HA-NE-D3-1992-1-28-T2,SGRET2026-2,Pulau Hantu,HA-NE,28,1,1992,28/01/1992,1.226666667,103.7530556,Slope,Fringing,3,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HA-NE-D3-1992-1-28-T3,SGRET2026-3,Pulau Hantu,HA-NE,28,1,1992,28/01/1992,1.226666667,103.7530556,Slope,Fringing,3,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
