spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,branching,encrusting,laminar,massive,submassive,competitive,stress-tolerant,weedy,generalist,datadeficient,iucnLC,iucnNT,iucnVU,iucnEN,iucnDD,rdb3lc,rdb3nt,rdb3vu,rdb3en,rdb3cr,rdb3nex,rdb3dd,First.known.year,First.known,Last.known.year,Last.known
Goniastrea pectinata,Goniastrea,Goniastrea,12,1,NA,1.27,1,NA,1.52,1,NA,10,2,150,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1956,(Purchon),2020,(Kikuzawa et al)
Goniastrea retiformis,Goniastrea,Goniastrea,7.4,6,0.845281018,1.445,2,NA,0.88,1,NA,5,2,100,2,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1961,(Chuang),2021,(Lee et al)
Goniastrea stelligera,Goniastrea,Favia,10,1,NA,NA,NA,NA,NA,NA,NA,4.15,2,NA,NA,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850715)",2009,(Huang)
Goniopora columna,Goniopora,Goniopora,NA,NA,NA,0.86,1,NA,NA,NA,NA,3.2,2,400,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1956,(Purchon),2021,(Lee et al)
Goniopora djiboutiensis,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,180,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1986,"(ZRC, 19860429)",2020,(Ng et al)
Goniopora eclipsensis,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,2,NA,NA,1,1,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850719)",1985,"(ZRC, 19850719)"
Goniopora fruticosa,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,1,1,NA,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1956,(Purchon),1995,(Loo & Chou)
Goniopora lobata,Goniopora,Goniopora,18.4,1,NA,1.03,1,NA,1.89,1,NA,3.5,2,60,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1956,(Purchon),2020,(Kikuzawa et al)
Goniopora pandoraensis,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,2,200,1,1,1,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1995,(Loo & Chou),2019,(Chow et al)
Goniopora pedunculata,Goniopora,Goniopora,NA,NA,NA,0.94,1,NA,NA,NA,NA,2,2,300,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2017,(as Goniopora minor; BioBlitz_SIMP2017),2021,(Lee et al)
Goniopora pendulus,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85,2,30,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1987,"(ZRC.1987.1916, Huang et al)",2020,(Ng et al)
Goniopora somaliensis,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,200,2,1,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850721)",2014,(Junjie et al)
Goniopora stokesi,Goniopora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2,15,2,1,1,NA,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1987,"(ZRC, 19870209)",2018,(Wong et al)
